Date      ,Time    ,Cl.,Event,User  ,Group,Terminal Name       ,Peer         ,Source TA      ,ABAP Source        ,Audit Log Msg. Text                                                                                                             ,Note,First Variable Value for Event                   ,Variable 2,Variable Data for Message       
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:54,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:55,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:55,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:55,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:55,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:56,200, AU5 ,FF_STP,     ,172.30.254.14       ,10.155.152.40,               ,SAPMSSY1           ,"RFC/CPIC logon successful (type=F, method=R)                                                                                    ",    ,F                                                ,0,R                               
2/7/2025,12:23:56,200, AUK ,FF_STP,     ,172.30.254.14       ,10.155.152.40,               ,SAPMSSY1           ,Successful RFC call ESH_FED_EXECUTE_TASK (function group = ESH_FED_PARALLEL)                                                    ,    ,ESH_FED_PARALLEL                                 ,          ,ESH_FED_EXECUTE_TASK            
2/7/2025,12:24:14,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZINTEROP_0001 started                                                                                     ,    ,R3TR IWSG ZINTEROP_0001                          ,          ,                                
2/7/2025,12:24:14,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/INTEROP                       0001 started                                                           ,    ,R3TR IWSV /UI2/INTEROP                       0001,          ,                                
2/7/2025,12:24:14,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZINTEROP_0001 started                                                                                     ,    ,R3TR IWSG ZINTEROP_0001                          ,          ,                                
2/7/2025,12:24:14,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/INTEROP                       0001 started                                                           ,    ,R3TR IWSV /UI2/INTEROP                       0001,          ,                                
2/7/2025,12:24:25,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZESH_SEARCH_SRV_0001 started                                                                              ,    ,R3TR IWSG ZESH_SEARCH_SRV_0001                   ,          ,                                
2/7/2025,12:24:25,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV ESH_SEARCH_SRV                     0001 started                                                           ,    ,R3TR IWSV ESH_SEARCH_SRV                     0001,          ,                                
2/7/2025,12:24:25,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZSWF_FLEX_DEF_SRV_0001 started                                                                            ,    ,R3TR IWSG ZSWF_FLEX_DEF_SRV_0001                 ,          ,                                
2/7/2025,12:24:26,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZSWF_FLEX_DEF_SRV_0001 started                                                                            ,    ,R3TR IWSG ZSWF_FLEX_DEF_SRV_0001                 ,          ,                                
2/7/2025,12:24:26,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV SWF_FLEX_DEF_SRV                   0001 started                                                           ,    ,R3TR IWSV SWF_FLEX_DEF_SRV                   0001,          ,                                
2/7/2025,12:24:26,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV SWF_FLEX_DEF_SRV                   0001 started                                                           ,    ,R3TR IWSV SWF_FLEX_DEF_SRV                   0001,          ,                                
2/7/2025,12:24:28,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZINTEROP_0001 started                                                                                     ,    ,R3TR IWSG ZINTEROP_0001                          ,          ,                                
2/7/2025,12:24:28,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/INTEROP                       0001 started                                                           ,    ,R3TR IWSV /UI2/INTEROP                       0001,          ,                                
2/7/2025,12:24:37,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZSWF_FLEX_DEF_SRV_0001 started                                                                            ,    ,R3TR IWSG ZSWF_FLEX_DEF_SRV_0001                 ,          ,                                
